CustomerID,CustomerName,Email,PhoneNumber,FullAddress,,,
1,John Doe,johndoe@email.com,123-456-7890,"123 Main St, Springfield, IL, 62704",,,
2,Jane Smith,janesmith@email.com,,,"234 Elm St, Chicago, IL, 60616",,
3,,michael@email.com,(123) 456-7890,"234 Elm St, New York, NY, 10001",,,
4,Emily Browne,,###############################################################################################################################################################################################################################################################,"345 Oak St, San Francisco, CA, 94103",,,
5,JACK SPARROW,jacksparrow@email.com,(123)-456-7890,"456 Pine St, Boston, MA, 02108",,,
6,William Johnson,,123 456 7890,,,,
7,Robert jones,robertjones@email,123-4567-890,"567 Willow St, Miami, FL, 33101",,,
8,Karen White,karenwhite@,,,"678 Maple St, Atlanta, GA, 30301",,
9,Patricia Brown,patriciabrown@site.com,,,"678 Cedar St, Seattle, WA, 98101",,
10,Paul Evans,,(123).456.7890,"789 Spruce St, Denver, CO, 80202",,,
11,Mary Davis,mary.davis@site,123.456.7890,"890 Cedar St, Phoenix, AZ, 85001",,,
12,JAMES miller,jamesmiller@site.com,,,,,
13,Jennifer Wilson,jennifer@email,123*456*7890,"1123 Birch St, Houston, TX, 77002",,,
14,,micheal@email.com,1234567-890,"1234 Ash St, Dallas, TX, 75201",,,
15,Maria Thomas,maria@email,,"-""1234 Poplar St", San Antonio, TX," 78201"""
16,Charles Garcia,,123.4567.890,,,,
17,,thomas.anderson@site.com,123 4567 890,"2345 Oak St, Philadelphia, PA, 19102",,,
18,Linda Martinez,linda.martinez@site.com,,,"3456 Maple St, Las Vegas, NV, 89101",,
19,Michael Taylor,michael.taylor@,123 4567-890,,,,
20,Laura Clark,,123-4567 890,"4567 Elm St, San Diego, CA, 92101",,,
21,Joseph Rodriguez,joseph@email.com,,,,,
22,Brian Lewis,brian@email.com,123.456.78.90,"5678 Pine St, Tampa, FL, 33601",,,
23,Dorothy Allen,,123-456-78-90,,,,
24,Christine Lee,christine@email.com,,,"6789 Cedar St, Orlando, FL, 32801",,
25,Daniel Harris,,123 456 78 90,"7890 Spruce St, Charlotte, NC, 28201",,,
26,Amy Adams,amy@email.com,,,"8901 Birch St, Portland, OR, 97201",,
27,Kenneth Thompson,kenneth@email,123.4567.890,,,,
28,Megan Scott,,123 4567 890,"123 Willow St, Sacramento, CA, 95814",,,
29,Deborah Nelson,deborah@email.com,,,"234 Elm St, Cleveland, OH, 44101",,
30,Susan Baker,susan@email,123-456.7890,,,,
31,Matthew Flores,matthew@email,123-4567.890,"345 Oak St, Minneapolis, MN, 55401",,,
32,Angela Price,,123.4567.890,"456 Pine St, New Orleans, LA, 70112",,,
33,Frances Hall,frances@email.com,,,"567 Willow St, Honolulu, HI, 96801",,
34,Stephen Gonzalez,stephen@email.com,123-456-7890,,,,
35,Anne Young,,123-456-7890,"678 Maple St, Anchorage, AK, 99501",,,
36,Lisa Edwards,lisa@email.com,###############################################################################################################################################################################################################################################################,,,,
37,Kevin Martinez,kevin@email,123-456-7890,"789 Cedar St, Indianapolis, IN, 46201",,,
38,Sarah Collins,,###############################################################################################################################################################################################################################################################,"890 Spruce St, Detroit, MI, 48201",,,
39,Betty King,betty@email,123.456.7890,,,,
40,Nancy Bell,,123 456 7890,"1123 Birch St, Columbus, OH, 43201",,,
41,Donald Powell,donald@email.com,,,"1234 Ash St, Nashville, TN, 37201",,
42,Margaret Cooper,,123-4567-890,,,,
43,Jeffrey Alexander,jeffrey@email.com,123.4567.890,"2345 Oak St, Baltimore, MD, 21201",,,
